"filename","function","line_no","CEC"
"git/realtime/lib/realtime/tenants/batch_broadcast.ex","broadcast",52,2
"git/electric/packages/sync-service/test/support/stub_inspector.ex","new",12,1
"git/analytics/lib/plausible/billing/paddle_api.ex","get_invoices",105,1
"git/ash/lib/ash/query/boolean_expression.ex","optimized_new",181,2
"git/ash/lib/ash/query/boolean_expression.ex","optimized_new",193,2
"git/analytics/extra/lib/plausible/ingestion/request/revenue.ex","put_revenue_source",7,1
"git/analytics/extra/lib/plausible/ingestion/request/revenue.ex","parse_revenue_source",18,1
"git/electric/packages/sync-service/lib/electric/shape_cache.ex","get_or_create_shape_handle",67,1
"git/electric/packages/sync-service/lib/electric/shape_cache.ex","resolve_shape_handle",93,1
"git/electric/packages/sync-service/lib/electric/shape_cache.ex","maybe_create_shape",362,1
"git/anoma/lib/node/replay/replay.ex","replay_for",79,3
"git/anoma/lib/node/replay/replay.ex","init_tables_node",128,2
"git/asciinema-server/lib/asciinema_web/controllers/api/stream_controller.ex","authenticate",67,1
"git/asciinema-server/lib/asciinema/recordings/asciicast/v1.ex","parse_file",45,2
"git/analytics/lib/plausible/google/ga4/http.ex","get_report",54,4
"git/ash/lib/mix/tasks/gen/ash.gen.base_resource.ex","igniter",60,1
"git/pinchflat/lib/pinchflat_web/controllers/media_items/media_item_controller.ex","parse_range",108,1
"git/realtime/lib/realtime_web/router.ex","check_auth",142,1
"git/ash/lib/ash/reactor/notifications.ex","complete",72,2
"git/ash/lib/ash/resource/validation/any.ex","init",30,1
"git/firezone/elixir/lib/portal_web/live/sign_in/email.ex","mount",17,2
"git/supavisor/lib/supavisor.ex","determine_node",327,1
"git/realtime/lib/extensions/postgres_cdc_rls/subscriptions_checker.ex","handle_continue",61,1
"git/realtime/lib/realtime_web/channels/realtime_channel.ex","join",79,27
"git/realtime/lib/realtime_web/channels/realtime_channel.ex","handle_in",401,1
"git/realtime/lib/realtime_web/channels/realtime_channel.ex","handle_in",417,5
"git/realtime/lib/realtime_web/channels/realtime_channel.ex","handle_in",442,5
"git/realtime/lib/realtime_web/channels/realtime_channel.ex","handle_in",492,6
"git/realtime/lib/realtime_web/channels/realtime_channel.ex","confirm_token",685,4
"git/realtime/lib/realtime_web/channels/realtime_channel.ex","maybe_assign_policies",842,3
"git/ecto/lib/ecto/changeset.ex","apply_relation_changes",4223,1
"git/nerves/lib/nerves/artifact/archive.ex","detect_compression",73,2
"git/analytics/lib/plausible_web/controllers/api/external_controller.ex","event",14,1
"git/symphony/elixir/lib/symphony_elixir/workflow_store.ex","load_state",132,1
"git/symphony/elixir/lib/symphony_elixir/workflow_store.ex","current_stamp",142,1
"git/firezone/elixir/lib/portal_api/controllers/actor_controller.ex","index",26,1
"git/firezone/elixir/lib/portal_api/controllers/actor_controller.ex","show",49,1
"git/firezone/elixir/lib/portal_api/controllers/actor_controller.ex","create",70,1
"git/firezone/elixir/lib/portal_api/controllers/actor_controller.ex","update",154,1
"git/firezone/elixir/lib/portal_api/controllers/actor_controller.ex","delete",186,1
"git/electric/packages/sync-service/lib/electric/shape_cache/pure_file_storage.ex","append_move_in_snapshot_to_log!",934,2
"git/pinchflat/lib/pinchflat/fast_indexing/fast_indexing_helpers.ex","get_recent_media_ids",76,1
"git/nerves/lib/nerves/artifact.ex","build",31,2
"git/ash/lib/ash/type/map.ex","generator",227,1
"git/firezone/elixir/lib/portal/changeset.ex","put_hash",104,1
"git/firezone/elixir/lib/portal/changeset.ex","normalize_url",356,1
"git/firezone/elixir/lib/portal/changeset.ex","validate_and_normalize_cidr",423,2
"git/firezone/elixir/lib/portal/changeset.ex","validate_and_normalize_ip",438,2
"git/firezone/elixir/lib/portal/changeset.ex","validate_hash",463,2
"git/analytics/lib/mix/tasks/create_paddle_prod_plans.ex","fetch_all_paddle_plans",227,1
"git/analytics/extra/lib/plausible/auth/sso.ex","provision_identity",481,2
"git/analytics/lib/plausible/imported/importer.ex","new_import",175,1
"git/ash/lib/ash/actions/managed_relationships.ex","do_matches?",2695,1
"git/firezone/elixir/lib/portal_web/controllers/verification_controller.ex","run_entra_auth_provider_verification",99,2
"git/firezone/elixir/lib/portal_web/controllers/verification_controller.ex","run_entra_directory_sync_verification",113,3
"git/phoenix_live_view/lib/phoenix_live_view/diff.ex","maybe_reuse_static",1088,1
"git/firezone/elixir/lib/portal_web/live/sign_up.ex","email_allowed?",59,1
"git/ash/lib/ash/policy/authorizer/authorizer.ex","install",540,1
"git/firezone/elixir/lib/portal_web/plugs/auto_redirect_default_provider.ex","call",33,1
"git/firezone/elixir/lib/portal_web/live/policies.ex","handle_params",54,1
"git/firezone/elixir/lib/portal_web/live/policies.ex","handle_params",61,1
"git/firezone/elixir/lib/portal_web/live/policies.ex","handle_params",104,1
"git/firezone/elixir/lib/portal_web/live/policies.ex","handle_params",111,1
"git/firezone/elixir/lib/portal_web/live/policies.ex","handle_params",135,1
"git/firezone/elixir/lib/portal_web/live/policies.ex","handle_params",142,1
